timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1578491299873,241,Configure Environment Properties,200,OK,setUp Thread Group 1-1,text,true,,1,0,1,1,null,0,0,0
1578491300667,360,Login,200,OK,Main 1-3,text,true,,97533,829,4,4,https://www.bing.com:443/?toWww=1&redig=D2A4A70194554D80997785EC4167093A,147,0,79
1578491300224,805,Login,200,OK,Main 1-1,text,true,,97533,829,4,4,https://www.bing.com:443/?toWww=1&redig=34E61DA00A3B444295E82B1FBDB62692,586,0,522
1578491300667,147,Login-0,301,,Main 1-3,text,true,,1011,113,4,4,https://bing.com/,147,0,79
1578491300224,587,Login-0,301,,Main 1-1,text,true,,1011,113,4,4,https://bing.com/,586,0,522
1578491300817,138,Login-1,200,OK,Main 1-3,text,true,,95870,276,4,4,https://www.bing.com:443/?toWww=1&redig=D2A4A70194554D80997785EC4167093A,122,0,45
1578491300817,158,Login-1,200,OK,Main 1-1,text,true,,95870,276,4,4,https://www.bing.com:443/?toWww=1&redig=34E61DA00A3B444295E82B1FBDB62692,142,0,45
1578491301009,18,Login-2,200,OK,Main 1-3,bin,true,,652,440,4,4,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,18,0,0
1578491301009,20,Login-2,200,OK,Main 1-1,bin,true,,652,440,4,4,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,20,0,0
1578491300416,716,Login,200,OK,Main 1-2,text,true,,97533,829,4,4,https://www.bing.com:443/?toWww=1&redig=27E2D9EB41DC4C9C9D7C72B2C77E42ED,398,0,330
1578491300416,398,Login-0,301,,Main 1-2,text,true,,1011,113,4,4,https://bing.com/,398,0,330
1578491300817,279,Login-1,200,OK,Main 1-2,text,true,,95870,276,4,4,https://www.bing.com:443/?toWww=1&redig=27E2D9EB41DC4C9C9D7C72B2C77E42ED,263,0,45
1578491301113,19,Login-2,200,OK,Main 1-2,bin,true,,652,440,4,4,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,19,0,0
1578491300918,246,Login,200,OK,Main 1-4,text,true,,97533,829,4,4,https://www.bing.com:443/?toWww=1&redig=64DACEAB284C4DF78E83940F8A000612,96,0,36
1578491300918,96,Login-0,301,,Main 1-4,text,true,,1011,113,4,4,https://bing.com/,96,0,36
1578491301015,129,Login-1,200,OK,Main 1-4,text,true,,95870,276,4,4,https://www.bing.com:443/?toWww=1&redig=64DACEAB284C4DF78E83940F8A000612,113,0,36
1578491301147,17,Login-2,200,OK,Main 1-4,bin,true,,652,440,4,4,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,17,0,0
1578491301042,214,Search,200,OK,Main 1-1,text,true,,95944,859,5,5,https://www.bing.com:443/?toWww=1&redig=E482943EA247418BB3D2C4D618D1B4DA,60,0,0
1578491301042,60,Search-0,301,,Main 1-1,text,true,,593,402,5,5,https://bing.com/,60,0,0
1578491301103,153,Search-1,200,OK,Main 1-1,text,true,,95351,457,5,5,https://www.bing.com:443/?toWww=1&redig=E482943EA247418BB3D2C4D618D1B4DA,77,0,0
1578491301138,161,Search,200,OK,Main 1-2,text,true,,95944,859,5,5,https://www.bing.com:443/?toWww=1&redig=E4E54E525E7F494E9B535018463B1033,66,0,0
1578491301138,66,Search-0,301,,Main 1-2,text,true,,593,402,5,5,https://bing.com/,66,0,0
